"refNum","oldId","Стара оферта","Score","Оператор","spo","PV id","PV заглавие"
"Е396","287","Страната на баските (самолет, на български)","0.69","Bohemia","6000002552","21-6000002552","Страната на баските - със самолет, на български език! Гарантирани места!"
"Е456","311","Легенди от Румъния – Букурещ, Синая, Бран и Брашов (втора програма)","0.69","AdvenTour","441","138-441","Легенди от Румъния ✔️ Букурещ, Синая, Бран и Брашов ✔️ от Кюстендил и Перник"
"Е507","339","Исландия – страната на елфите, троловете и северното сияние","0.66","Rual Travel","3849","31-3849","Исландия - страната на елфите, троловете и северното сияние - октомври 2026"
"П1143","113","Почивка в Лара, Турция (самолет от Пловдив, петък)","0.65","OnexTour","235","94-235","Почивка в Лара, Турция с полет от Пловдив до Анталия"
"Е411","132","Париж – любов и романтика (самолет, на български)","0.65","Bohemia","6000005518","21-6000005518","Екскурзия във ФРАНЦИЯ - Париж - любов и романтика! Директен полет от ВАРНА!"
"П723","161","Почивка в Тунис (самолет от София, сряда, 7 нощувки)","0.63","Emerald Travel","1609","123-1609","ЕКСКЛУЗИВНИ ОТСТЪПКИ - Почивка в Тунис със самолет от София - 7 нощувки"
"П934","192","Почивка в Италия – Сицилия (хотел Orizzonte 4★)","0.63","Abax.bg","3000","109-3000","СИЦИЛИЯ ОТ А ДО Я - ДУШАТА НА ИТАЛИЯ - полет от София"
"Е560","245","Милано и италианските езера (втора програма)","0.63","Doris","255","111-255","Милано и италиански езера"
"Е666","331","Формула 1 Гран При в Абу Даби 2026 (от София)","0.63","Belprego Travel","1098","121-1098","FORMULA 1 GRAND PRIX в Абу Даби 2026 от София"
"Е326","335","Прибалтика – новото лице на Европа","0.62","PREMIO TRAVEL","470","92-470","ПРИБАЛТИКА – НОВОТО ЛИЦЕ НА ЕВРОПА – ПОЛЕТ ОТ БУРГАС"
"П935","193","Почивка в Италия – Сицилия (хотел Sporting Baia 4★)","0.59","Abax.bg","3000","109-3000","СИЦИЛИЯ ОТ А ДО Я - ДУШАТА НА ИТАЛИЯ - полет от София"
"Е734","307","Най-доброто от Полша","0.59","Bohemia","6000005056","21-6000005056","Екскурзия &quot;Най-доброто от ПОЛША&quot; - Вроцлав, Познан, Гданск, Варшава  и Краков!"
"П1123","188","Приказна почивка в Пулия (с екскурзия до Бари)","0.58","Abax.bg","2984","109-2984","Приказна почивка в Пулия с включена екскурзия на Бари"
"Е684","33","Опознай Индия – Делхи, Агра, Джайпур, Джодхпур, Удайпур","0.56","WelcomeTravel","1412","19-1412","ОПОЗНАЙ ИНДИЯ"
"П1050","115","Тунис 2026 – 8 дни All Inclusive (полет от София)","0.56","ToursClub","241","44-241","Почивка в Белек 2026: Самолетна програма със 7 нощувки от София"
"П726","206","Почивка в Алания (автобус от София, 7 нощувки)","0.54","Emerald Travel","67","123-67","Почивка в Бодрум, Турция с автобус от София - 7 нощувки"
"Е636","73","Екскурзия в Испания – Великолепният Мадрид","0.53","Bohemia","6000000919","21-6000000919","Екскурзия в ИСПАНИЯ - Мадрид - в сърцето на Испания!"
"Е704","265","Почивка на остров Тасос","0.53","Odans Travel","888","11-888","Мини Почивка на остров Тасос - 3 нощувки"
"Е612","340","10 дни Исландия – земя на огън и лед","0.53","2МКО","1737","20-1737","ИСЛАНДИЯ - ЗЕМЯ ОТ ЛАВА И ЛЕД - УДЪЛЖЕН ВАРИАНТ."
"Е669","38","Кунг Фу и Панди – Шанхай, Чънду, Сиан, Лоян, Пекин","0.51","WelcomeTravel","1255","19-1255","КУНГ ФУ И ПАНДИ ШАНХАЙ - ПЕКИН - 28.06"
"П980","139","Малдиви – райско приключение","0.51","Karta Holiday","120","98-120","Малдиви – Приключение в рая"
"Е173","249","Амалфийска ривиера – Амалфи и крайбрежие","0.51","PREMIO TRAVEL","6","92-6","АМАЛФИЙСКА РИВИЕРА"
"Е531","313","Солна мина Униреа – Букурещ – СПА Терме","0.51","AdvenTour","449","138-449","ПРЕДКОЛЕДЕН УИКЕНД 2026 в Букурещ. Терме СПА, Коледен базар с опция за Солна мина Слъник и  Музей Цириак – от Пловдив, Стара Загора, Казанлък, Габрово, Велико Търново и Русе"
"Е736","305","Дъхът на Краков","0.5","Bohemia","6000005307","21-6000005307","Екскурзия в ПОЛША - КРАКОВ на един дъх"
"Е247","309","Плитвички езера, Постойна яма, езерото Блед – магията на Балканите","0.49","Rual Travel","3425","31-3425","Постойна - Плитвишки езера - Загреб - Любляна"
"Е717","304","Лисабон и остров Мадейра","0.48","Euphoria Travel","1256","184-1256","Почивка на остров Занзибар с чартър от Мадрид"
"Е575","325","Дубай – вълнуваща обиколка на града за 6 дни","0.48","MarbroTours","179","63-179","Дубай: Рай в Ориента (6 дни)"
"Е738","354","Мароко – Южна магия (8 дни)","0.48","Bohemia","6000005413","21-6000005413","Ваканция в МАРОКО - Маракеш и почивка в Агадир!"
