"refNum","Стара оферта","EUR","Нощувки","Score","t","p","n","d","Оператор","spo (ID при оператора)","PV id","PV EUR","PV заглавие"
"Е557","Кения – класическо сафари и почивка на Диани Бийч","3999","7","1","1","1","1","1","Bohemia","6000005108","21-6000005108","3999.00","Екскурзия в КЕНИЯ - класическо сафари и почивка на Диани бийч"
"Е679","Почивка в Индонезия – Мечтаният остров Бали с водач от България","2499","7","1","1","1","1","1","Bohemia","6000003724","21-6000003724","2499.00","Почивка в ИНДОНЕЗИЯ - МЕЧТАНИЯТ ОСТРОВ БАЛИ - с водач от България!"
"Е556","Екскурзия в Египет: Кайро – град на контрастите","764","4","1","1","1","1","1","Bohemia","6000004979","21-6000004979","764.00","Екскурзия в ЕГИПЕТ: Кайро - град на контрастите - 4 нощувки"
"Е739","Екскурзия в Испания – Андалусия за ценители","499","4","1","1","1","1","1","Bohemia","6000005226","21-6000005226","499.00","Екскурзия в ИСПАНИЯ - Андалусия за ценители! Обслужване на български език!"
"Е192","Екскурзия в Испания – Барселона, сърцето на Каталуния","599","3","1","1","1","1","1","Bohemia","6000001624","21-6000001624","599.00","Екскурзия в ИСПАНИЯ - БАРСЕЛОНА - сърцето на Каталуния"
"Е195","Екскурзия в Испания – Мадрид, в сърцето на Испания","639","4","1","1","1","1","1","Bohemia","6000000919","21-6000000919","639.00","Екскурзия в ИСПАНИЯ - Мадрид - в сърцето на Испания!"
"Е395","Почивка в Испания – Гран Канария, загадъчният остров","1135","7","1","1","1","1","1","Bohemia","6000004786","21-6000004786","1135.00","Почивка в ИСПАНИЯ - ГРАН КАНАРИЯ - загадъчният остров"
"П756","Почивка в Гърция – остров Родос (полет от София)","515","7","1","1","1","1","1","Bohemia","1100019780","21-1100019780","515.37","Почивка в ГЪРЦИЯ - ОСТРОВ РОДОС - 7 нощувки - полет от София!"
"Е267","Почивка в Испания – Тенерифе, островът на вечното лято","799","7","1","1","1","1","1","Bohemia","6000004474","21-6000004474","799.00","Почивка в ИСПАНИЯ - ТЕНЕРИФЕ - островът на вечното лято!"
"Е346","Екскурзия в Полша – Уикенд в Краков и Вроцлав","499","3","1","1","1","1","1","Bohemia","6000004747","21-6000004747","499.00","Екскурзия в ПОЛША - Уикенд в КРАКОВ и ВРОЦЛАВ"
