"refNum","Стара оферта","Score","Оператор","ID при оператора (spo)","PV id","PV заглавие"
"Е546","Съкровищата на Древен Египет – Кайро, Луксор, Хургада и оазис Фаюм","0.89","Bohemia","6000004864","21-6000004864","Съкровищата на ДРЕВЕН ЕГИПЕТ - КАЙРО, ЛУКСОР, ХУРГАДА и оазис ФАЮМ с вътрешен полет!"
"Е433","Ваканция в Египет – Кайро, Хургада и круиз по река Нил","0.88","Bohemia","6000004118","21-6000004118","Ваканция в ЕГИПЕТ - КАЙРО, ХУРГАДА И КРУИЗ ПО РЕКА НИЛ - с вътрешен полет!"
"П1049","All Inclusive почивка в Шарм ел Шейх – Лято-Есен 2026","0.88","Abax.bg","2999","109-2999","All Inclusive Почивка в Шарм ел Шейх - Лято-Есен 2026 - полет от София"
"Е425","Ваканция в Египет – Хургада, Кайро и круиз по река Нил","0.88","Bohemia","6000004118","21-6000004118","Ваканция в ЕГИПЕТ - КАЙРО, ХУРГАДА И КРУИЗ ПО РЕКА НИЛ - с вътрешен полет!"
"Е540","Екскурзия в Китай – тайните на Изтока с посещение на Шаолин","0.83","Bohemia","6000004099","21-6000004099","Екскурзия в КИТАЙ – тайните на Изтока, с посещение на манастира Шаолин!"
"Е431","Екскурзия в Япония – Токио, Фуджи, Киото, Осака","0.83","Bohemia","6000003297","21-6000003297","Екскурзия в ЯПОНИЯ - Токио, Фуджи, Киото, Осака, съкровищата на Япония - с водач от България!"
"П1144","Мароко – цветове, аромати и приключения (7 нощувки в Маракеш)","0.83","Abax.bg","3222","109-3222","Мароко – цветове, аромати и приключения - 7 нощувки в Маракеш с полет от София"
"П1108","Почивка във Венеция – магията на Северна Италия","0.83","Abax.bg","3017","109-3017","ПОЧИВКА ВЪВ ВЕНЕЦИЯ - МАГИЯТА НА СЕВЕРНА ИТАЛИЯ - 7 нощувки - полет от София"
"П1116","Екскурзия в Южна Италия – Амалфи, Позитано, Неапол","0.83","Emerald Travel","1737","123-1737","Екскурзия в Южна Италия - Амалфи, Позитано, Неапол, със самолет от София - 5 нощувки"
"П1105","Перлите на Пулия и Кампания (полет от Варна до Бари)","0.83","Abax.bg","3179","109-3179","Перлите на Пулия и Кампания -  полет от Варна до Бари - BUDGET"
"Е638","Корфу – островът на нимфите (Potamaki Beach)","0.83","Bohemia","6000002852","21-6000002852","Корфу - островът на нимфите - хотел &quot;Potamaki Beach&quot; 3*"
"Е732","Карибски круиз с Пуерто Рико","0.8","Apollo 2000 Ltd.","380","36-380","Карибски круиз с Пуерто Рико 28.01.2027"
"П1150","Вкусът на Азия – Виетнам и Камбоджа (12 нощувки)","0.8","Abax.bg","3200","109-3200","Вкусът на Азия - Виетнам и Камбоджа - 12 нощувки - полет от София"
"П1078","Почивка на Халкидики – Касандра (автобус от Пловдив и София)","0.8","Emerald Travel","479","123-479","Почивка на Халкидики - Касандра, Гърция с автобус от София и Пловдив - 7 нощувки"
"Е710","Корфу – островът на нимфите (хотел Hellinis 3★)","0.8","Bohemia","6000003756","21-6000003756","Корфу - островът на нимфите - хотел &quot;Hellinis&quot; 3*"
