"Стара оферта (запазено име)","Оператор","ID при оператор","PV id","Score","PeakView заглавие"
"САЩ Западно крайбрежие с круиз по Бахамите","2МКО","1590","20-1590","0.71","САЩ - Западно крайбрежиe, с круиз по Бахамите"
"Карибски круиз с Пуерто Рико","Apollo 2000 Ltd.","380","36-380","0.9","Карибски круиз с Пуерто Рико 28.01.2027"
"САЩ – Източно и Западно крайбрежие с круиз по Бахамите","2МКО","2099","20-2099","0.74","САЩ - Източно и Западно крайбрежиe с круиз по Бахамите"
"Вкусът на Азия – Виетнам и Камбоджа (12 нощувки)","Abax.bg","3200","109-3200","0.9","Вкусът на Азия - Виетнам и Камбоджа - 12 нощувки - полет от София"
"Китай, Хон Конг и Макао","Rual Travel","3925","31-3925","0.8","Китай, Хонг Конг и Макао"
"Китай и Планините от Аватар – Джангдзяцзи","WelcomeTravel","807","19-807","0.68","КИТАЙ И ПЛАНИНИТЕ ОТ АВАТАР 2026 - 20.09, 05.10"
"Екскурзия в Китай, Хон Конг и Макао с посещение на Шаолин – с водач от България","Bohemia","6000005069","21-6000005069","0.75","Екскурзия в КИТАЙ - Китай, Хонконг и Макао, с посещение на манастира Шаолин - с водач от България!"
"Екскурзия в Китай – тайните на Изтока с посещение на Шаолин","Bohemia","6000004099","21-6000004099","0.75","Екскурзия в КИТАЙ – тайните на Изтока, с посещение на манастира Шаолин!"
"Екскурзия в Япония – Токио, Фуджи, Киото, Осака","Bohemia","6000005537","21-6000005537","0.65","Екскурзия в ЯПОНИЯ - Токио, Фуджи, Киото, Осака, съкровищата на Япония - с водач от България! ПОЛЕТ от ВАРНА!"
"Южна Корея и Япония – от Сеул до Токио","Bohemia","6000005147","21-6000005147","0.81","Екскурзия в ЮЖНА КОРЕЯ и ЯПОНИЯ - От Сеул до Токио - Цветовете на Далечния изток!"
"Съкровищата на Древен Египет – Кайро, Луксор, Хургада и оазис Фаюм","Bohemia","6000004864","21-6000004864","0.94","Съкровищата на ДРЕВЕН ЕГИПЕТ - КАЙРО, ЛУКСОР, ХУРГАДА и оазис ФАЮМ с вътрешен полет!"
"Ваканция в Египет – Кайро, Хургада и круиз по река Нил","Bohemia","6000004118","21-6000004118","0.94","Ваканция в ЕГИПЕТ - КАЙРО, ХУРГАДА И КРУИЗ ПО РЕКА НИЛ - с вътрешен полет!"
"Почивка в Хургада, Египет – със самолет от София","OnexTour","615","94-615","0.67","Почивка в Хургада с чартър от София - ПРОМО ЦЕНИ"
"All Inclusive почивка в Хургада – с полет от Пловдив","Abax.bg","3274","109-3274","0.83","All Inclusive почивка в Хургада с полет от Пловдив - ЕСЕН 2026"
"All Inclusive почивка в Шарм ел Шейх – Лято-Есен 2026","Abax.bg","2999","109-2999","0.94","All Inclusive Почивка в Шарм ел Шейх - Лято-Есен 2026 - полет от София"
"Ваканция в Египет – Хургада, Кайро и круиз по река Нил","Bohemia","6000004117","21-6000004117","0.94","Ваканция в ЕГИПЕТ - ХУРГАДА, КАЙРО И КРУИЗ ПО РЕКА НИЛ - с вътрешен полет!"
"Съкровищата на Испания – със самолет, на български език","Bohemia","6000002906","21-6000002906","0.7","Съкровищата на Испания - със самолет, на български език! Отстъпки за ранни записвания!"
"Страната на баските – със самолет, на български език","Bohemia","6000002552","21-6000002552","0.75","Страната на баските - със самолет, на български език! Гарантирани места!"
"Природен феномен Метеора – Катерини Паралия – Солун","AnaTravel","313","26-313","0.63","Екскурзия до Метеора, Паралия Катерини и Солун"
"Екскурзия до Кавала, остров Тасос и плажът Амолофи","AnaTravel","724","26-724","0.86","Екскурзия до Кавала, остров Тасос и плажът Амолофи с две нощувки в хотел Esperia 3***"
"Почивка на Халкидики – Касандра (автобус от Пловдив и София)","Emerald Travel","479","123-479","0.9","Почивка на Халкидики - Касандра, Гърция с автобус от София и Пловдив - 7 нощувки"
"Корфу – островът на нимфите (хотел Hellinis 3★)","Bohemia","6000003756","21-6000003756","0.82","Корфу - островът на нимфите - хотел &quot;Hellinis&quot; 3*"
"Йонийска мечта – Лефкада, Кефалония и Закинтос","Bohemia","6000002876","21-6000002876","0.62","Йонийска мечта"
"Почивка на остров Евия в Едипсос – море и СПА оазис","AlbatrosTours","609","139-609","0.83","Почивка ГЪРЦИЯ на остров ЕВИЯ в ЕДИПСОС море и СПА оазис - дар за Херакъл!"
"Мини почивка на Олимпийска Ривиера (Cronwell Platamon 5★)","WelcomeTravel","7933","19-7933","0.75","МИНИ ПОЧИВКА НА ОЛИМПИЙСКА РИВИЕРА, ГЪРЦИЯ - 23.09"
"Почивка на о-в Крит 2026 – с включени екскурзии и директен полет","Abax.bg","3145","109-3145","0.9","Почивка на о-в Крит 2026 с включени екскурзии и директен полет от София"
"Алания – Лято 2026 (автобусна програма, 7 нощувки)","Belprego Travel","1151","121-1151","0.79","Ранни записвания Алания Лято 2026 от София - Автобусна програма 7 нощувки"
"Алания – Лято 2026 (самолет, вторник, 7 нощувки)","AQUA TOUR","1846","97-1846","0.9","АЛАНИЯ - ЛЯТО 2026 САМОЛЕТНА ПРОГРАМА - ДЕН ВТОРНИК - 7 НОЩУВКИ"
"Кемер – Лято 2026 (самолет, вторник, 7 нощувки)","AQUA TOUR","1854","97-1854","0.82","КЕМЕР - ЛЯТО 2026 САМОЛЕТНА ПРОГРАМА - ДЕН ВТОРНИК - 7 НОЩУВКИ"
"Белек – Лято 2026 (самолет, събота, 7 нощувки)","NovaTours","3","116-3","0.67","Почивки на Халкидики - Ситония - лято 2026"
"Сиде – Лято 2026 (самолет, събота, 7 нощувки)","AQUA TOUR","1864","97-1864","0.73","СИДЕ - ЛЯТО 2026 САМОЛЕТНА ПРОГРАМА - ДЕН  СЪБОТА  - 7 НОЩУВКИ"
"Лара – Лято 2026 (самолет, събота, 7 нощувки)","AQUA TOUR","1860","97-1860","0.9","ЛАРА - ЛЯТО 2026 САМОЛЕТНА ПРОГРАМА - ДЕН СЪБОТА - 7 НОЩУВКИ"
"8 дни в Анталия – турската ривиера (полет от София)","Abax.bg","2988","109-2988","0.67","8 дни в Анталия - Турската ривиера Ви очаква с полет от София 2026"
"Алания – Лято 2026 (самолет, събота, 7 нощувки)","AQUA TOUR","1848","97-1848","0.9","АЛАНИЯ - ЛЯТО 2026 САМОЛЕТНА ПРОГРАМА - ДЕН СЪБОТА - 7 НОЩУВКИ"
"Кемер – Лято 2026 (самолет, събота, 7 нощувки)","AQUA TOUR","1856","97-1856","0.82","КЕМЕР - ЛЯТО 2026 САМОЛЕТНА ПРОГРАМА - ДЕН СЪБОТА - 7 НОЩУВКИ"
"Почивка в Лара, Турция (полет от Пловдив)","OnexTour","235","94-235","0.88","Почивка в Лара, Турция с полет от Пловдив до Анталия"
"Ранни записвания в Белек, Анталия (полет от Пловдив)","Belprego Travel","1213","121-1213","0.86","Ранни записвания в Белек, Анталия - Самолетна програма, 2026 /7 нощувки с полет от Пловдив"
"Почивка в Албания 2026 – Шенгин на Адриатическо море","Mistral Travel","1660","136-1660","0.81","Почивка в АЛБАНИЯ 2026 на Адриатическо МОРЕ в ШЕНГИН курорт до Черна Гора!"
"Почивка в Италия – Римини (хотел Vittoria 4★)","Bohemia","1100020167","21-1100020167","0.75","Почивка в ИТАЛИЯ - РИМИНИ, хотел Vittoria 4* - с директен полет до Римини и обслужване на български език! Гарантирани места!"
"Най-доброто от Италия – Милано, Пиза, Флоренция, Рим","Bohemia","6000002374","21-6000002374","0.77","Най-доброто от Италия - &gt; Милано – Генуа – Пиза – Флоренция  – Сиена – Орвието – Рим, със самолет, на български език! Отстъпки за ранни записвания!"
"Йордания от А до Я – Петра и пустинята Уади Рум","Abax.bg","3035","109-3035","0.86","Йордания от А до Я - Петра и пустинята Уади Рум - BESTSELLER - хотели 4* - полет от София"
"Екскурзия в Мароко – имперските градове","Bohemia","6000001685","21-6000001685","0.75","Екскурзия в МАРОКО - имперските градове - със самолет, водач от България! Отстъпки за ранни записвания!"
"Мечтана Сицилия + бонус 6 екскурзии (Athena Resort 4★)","Abax.bg","3011","109-3011","0.81","Мечтана Сицилия + БОНУС 6 екскурзии - Athena Resort Village 4* Superior полет от София"
"Автентична Сицилия (Torre Normanna 4★) + 6 екскурзии","Abax.bg","3007","109-3007","0.79","АВТЕНТИЧНА СИЦИЛИЯ - Torre Normanna 4* + БОНУС 6 включени екскурзии - полет от София"
"Ексклузивно Мароко 2026 – имперските столици (кацане във Фес)","Abax.bg","3042","109-3042","0.78","ЕКСКЛУЗИВНО МАРОКО - ИМПЕРСКИТЕ СТОЛИЦИ - от Фес до Маракеш - хотели 3*/4* - 09.10, 23.10"
"Халкидики – Ситония, почивки на море (автобус)","Solvex TA","11687","43-11687","0.65","Халкидики - Ситония - почивки на море, Дати: Всяка събота от 23.05 до 19.09, автобусна почивка от София, Пловдив и Пазарджик"
"Почивка на остров Тасос – 5 нощувки (Ntinas Filoxenia 4★)","Bohemia","1100020036","21-1100020036","0.72","Почивка на остров Тасос - 5 нощувки със закуски и вечери - хотел &quot;Ntinas Filoxenia&quot; 4* - с организиран транспорт!"
"Почивка в Гърция – остров Корфу (4 нощувки, полет)","Bohemia","1100013197","21-1100013197","0.71","Почивка в ГЪРЦИЯ - ОСТРОВ КОРФУ - 4 нощувки - полет от София!"
"Остров Крит – Лято 2026 (7 нощувки, самолет)","Solvex TA","11077","43-11077","0.6","Остров Крит - 7 нощувки, Дати: Всяка неделя от 31.05 до 04.10, самолетна почивка от София с полет до Хераклион"
"Почивка на остров Закинтос – 7 нощувки (с транспорт)","Bohemia","1100006971","21-1100006971","0.88","Почивка на остров Закинтос - 7 нощувки - с включен транспорт!"
"Почивка в Гърция – остров Корфу (7 нощувки, полет)","Bohemia","1100019855","21-1100019855","0.79","Почивка в ГЪРЦИЯ - ОСТРОВ КОРФУ - 7 нощувки - полет от София!"
"Ексклузивни отстъпки – Почивка на о-в Джерба, Тунис","Emerald Travel","1432","123-1432","0.9","ЕКСКЛУЗИВНИ ОТСТЪПКИ - Почивка на о.Джерба, Тунис със самолет от София - 7 нощувки!"
"Мароко – цветове, аромати и приключения (7 нощувки в Маракеш)","Abax.bg","3222","109-3222","0.92","Мароко – цветове, аромати и приключения - 7 нощувки в Маракеш с полет от София"
"Мароко от А до Я (от Фес до Маракеш, хотели 3*/4*)","Abax.bg","3047","109-3047","0.88","МАРОКО от А до Я  - от Фес до Маракеш -хотели 3*/4*-  09.10, 23.10 - полет от София"
"Почивка в Коста Брава (редовен полет)","OnexTour","182","94-182","0.75","Почивка в Коста Брава от София"
"Почивка в Испания – Мурсия, Ла Манга дел Мар Менор","Bohemia","1100005862","21-1100005862","0.88","Почивка в ИСПАНИЯ - МУРСИЯ, ЛА МАНГА ДЕЛ МАР МЕНОР -  със самолет и обслужване на български език! Гарантирани места!"
"Почивка в Испания – Коста дел Сол (хотел Fuengirola Park 4★)","Bohemia","1100005849","21-1100005849","0.83","Почивка в ИСПАНИЯ - КОСТА ДЕЛ СОЛ, хотел &quot;Fuengirola Park&quot; **** -  със самолет и обслужване на български език! Гарантирани места!"
"Почивка в Испания – Тенерифе (директни чартъри)","Emerald Travel","1526","123-1526","0.83","Почивка в Испания - остров Тенерифе, директни чартъри от София"
"Почивка в Тенерифе (Alexandre Hotel Gala 4★)","Emerald Travel","1639","123-1639","0.6","Почивка в Испания - остров Тенерифе, директни чартъри от София - ALEXANDRE HOTELS"
"Рим – Вечният град 2026 (3 нощувки)","Abax.bg","3043","109-3043","0.9","РИМ - ВЕЧНИЯТ ГРАД 2026 - 3 нощувки -  полет от София"
"Почивка във Венеция – магията на Северна Италия","Abax.bg","3017","109-3017","0.92","ПОЧИВКА ВЪВ ВЕНЕЦИЯ - МАГИЯТА НА СЕВЕРНА ИТАЛИЯ - 7 нощувки - полет от София"
"Почивка в Италия – Пулия (Grand Hotel dei Cavalieri 4★)","Bohemia","1100006087","21-1100006087","0.79","Почивка в ИТАЛИЯ - ПУЛИЯ, хотел Grand Hotel dei Cavalieri 4* - със самолет и обслужване на български език! Гарантирани места!"
"Сицилия – Athena Resort Village 4★ Superior","Abax.bg","3004","109-3004","0.72","Athena Resort Village 4* Superior - разкошен плаж и вълнуващи екскурзии, полет от София"
"Екскурзия в Южна Италия – Амалфи, Позитано, Неапол","Emerald Travel","1738","123-1738","0.83","Екскурзия в Южна Италия - Амалфи, Позитано, Неапол, със самолет от Варна - 5 нощувки"
"Перлите на Пулия и Кампания (полет от Варна до Бари)","Abax.bg","3179","109-3179","0.92","Перлите на Пулия и Кампания -  полет от Варна до Бари - BUDGET"
"Почивка в Бодрум (самолет от София, четвъртък, 7 нощувки)","Emerald Travel","55","123-55","0.88","Почивка в Бодрум, Турция със самолет от София в Четвъртък - 7 нощувки"
"Почивка в Анталия (полет от Бургас)","OnexTour","253","94-253","0.67","Почивка в Лара, Турция с полет от Бургас до Анталия"
"Екскурзия в Италия – Бари, Пулия (3 нощувки в хотел 3★)","Bohemia","6000004328","21-6000004328","0.76","Екскурзия в ИТАЛИЯ - БАРИ, Пулия - 3 нощувки в хотел 3*! Самолетна програма на български език!"
"Екскурзия в Италия – Перуджа, Умбрия (4 нощувки в хотел 3★)","Bohemia","6000004858","21-6000004858","0.76","Екскурзия в ИТАЛИЯ - ПЕРУДЖА, Умбрия - 4 нощувки в хотел 3*! Самолетна програма на български език!"
"Милано и италианските езера","Doris","255","111-255","0.63","Милано и италиански езера"
"Екскурзия в Италия – Рим, магията на Империята (4 нощувки, втора програма)","Bohemia","6000005466","21-6000005466","0.67","Екскурзия в ИТАЛИЯ - РИМ - магията на Империята, 4 нощувки със самолет и обслужване на български език! С директен полет от ВАРНА!"
"Корфу – островът на нимфите (Potamaki Beach)","Bohemia","6000002852","21-6000002852","0.8","Корфу - островът на нимфите - хотел &quot;Potamaki Beach&quot; 3*"
"Почивка на остров Закинтос – перлата на Йонийските острови","AnaTravel","831","26-831","0.61","Почивка на Остров Закинтос - Перлата на Йонийските острови, с възможност за посещение на остров Кефалония седем нощувки със закуски и вечери"
"Ница – „Le beau voyage"" (самолет, на български)","Bohemia","6000003716","21-6000003716","0.76","Ница - &quot;Le beau voyage&quot; - със самолет и обслужване на български език!"
"Париж – градът на светлината","Bohemia","6000000855","21-6000000855","0.68","Екскурзия във Франция - ПАРИЖ - градът на светлината"
"Европейските столици – Будапеща, Братислава, Прага и Виена","Doris","210","111-210","0.67","Европейските столици преди Коледа - Будапеща, Братислава, Прага и Виена"
"Магичният свят на Вроцлав и Краков","Bohemia","6000005052","21-6000005052","0.63","Екскурзия в ПОЛША - вълшебният свят на Вроцлав и Краков!"
"Екскурзия в Унгария – Будапеща (специална ваканционна програма)","Bohemia","6000003916","21-6000003916","0.63","Екскурзия в УНГАРИЯ - БУДАПЕЩА - Специална ваканционна програма за туристи над 55 години и приятели!"
